Country,TotalCount_1,TotalCount_2,TotalCount_3,TotalCount_4,TotalCount_5,TotalCount_6,TotalCount_7,TotalCount_8
AFG,-0,-0,0,0,0,0,0,0
AHO,-0,-0,-0,-0,0,0,0,0
AIN,-0,-0,-0,-0,0,0,0,0
ALB,-0,0,-0,-0,0,0,0,1
ALG,3,3,3,4,4,4,4,4
AND,-0,-0,-0,0,0,0,0,0
ANG,0,0,1,0,0,1,1,1
ANT,-0,-0,0,0,0,0,0,1
ANZ,-0,-0,-0,-0,0,0,0,0
ARG,3,0,12,15,15,12,12,11
ARM,2,2,2,2,3,3,3,3
ARU,0,0,0,0,1,1,1,1
ASA,0,0,0,0,0,0,1,1
AUS,45,23,50,-5,31,33,-19,-20
AUT,8,-17,8,9,11,11,17,8
AZE,-1,3,4,5,7,7,7,8
BAH,1,2,2,2,2,2,1,2
BAN,0,-0,-0,-0,-0,0,0,1
BAR,0,0,0,0,0,1,1,1
BDI,0,0,0,0,0,0,1,1
BEL,-8,6,9,9,10,9,9,8
BEN,0,0,0,0,0,0,1,1
BER,0,0,0,0,0,0,1,1
BHU,-0,-0,-0,-0,-0,0,0,0
BIH,0,0,0,0,0,1,1,1
BIZ,-0,-0,0,0,0,0,0,0
BLR,4,7,6,4,5,8,10,11
BOH,-0,-0,-0,-0,0,0,0,0
BOL,0,0,0,0,0,0,0,1
BOT,0,0,1,1,1,1,1,1
BRA,-12,3,16,-11,18,20,-10,-14
BRN,1,2,2,2,1,1,1,1
BRU,-0,-0,-0,0,0,0,0,0
BUL,-6,-2,-4,-5,-4,-0,1,1
BUR,0,0,0,0,0,0,1,1
CAF,-0,-0,-0,0,0,0,0,1
CAM,-0,-0,-0,0,0,0,0,1
CAN,22,-8,34,9,18,19,-1,14
CAY,-0,-0,-0,0,0,0,0,1
CGO,-0,-0,-0,0,0,1,1,1
CHA,-0,-0,-0,0,0,0,0,0
CHI,-2,-2,2,3,4,4,5,4
CHN,65,75,112,87,109,108,70,77
CIV,0,1,1,1,1,1,1,1
CMR,1,0,-0,-1,-1,-1,-1,-0
COD,0,0,0,0,0,0,1,1
COK,0,-0,0,0,0,0,1,1
COL,4,3,3,-9,2,3,-5,8
COM,-0,-0,0,0,0,0,0,1
CPV,-1,-1,-1,-1,-0,-0,0,0
CRC,0,0,0,-15,0,1,-18,-26
CRO,15,10,10,8,9,9,10,7
CRT,-0,-0,-0,-0,0,0,0,0
CUB,16,16,16,18,17,17,16,16
CYP,3,3,2,2,2,2,2,1
CZE,5,-35,9,12,12,13,12,8
DEN,15,15,17,14,13,12,10,10
DJI,0,0,0,0,0,0,1,1
DMA,-0,-0,-0,0,0,0,0,0
DOM,1,2,-17,11,2,3,10,-0
ECU,1,2,2,-5,-16,-16,-4,2
EGY,-7,7,8,-11,7,8,-35,-20
EOR,1,2,1,1,1,1,1,1
ERI,0,0,1,1,1,1,1,1
ESA,0,0,0,0,0,0,1,1
ESP,-5,-21,23,5,8,8,-14,-1
EST,5,5,6,6,5,5,5,5
ETH,3,5,5,6,5,4,3,3
EUN,0,3,5,5,5,7,7,8
FIJ,6,3,4,3,4,5,5,6
FIN,7,6,5,6,5,4,3,4
FRA,33,35,60,-65,40,42,-50,40
FRG,-0,-0,-0,-0,0,0,0,0
FSM,-0,-0,-0,0,0,0,0,1
GAB,0,1,1,1,1,1,1,1
GAM,-0,-0,-0,0,0,0,0,1
GBR,48,23,69,57,42,39,49,44
GBS,0,0,0,0,0,0,1,1
GDR,-0,-0,-0,-0,0,0,0,0
GEO,10,11,10,9,8,8,8,8
GEQ,-0,-0,-0,0,0,0,0,0
GER,20,-2,45,43,-5,-1,55,41
GHA,1,-0,-1,-1,-1,-1,-1,-1
GRE,13,11,7,-14,5,7,-34,-17
GRN,0,0,0,0,0,1,1,1
GUA,3,3,3,3,2,2,1,1
GUI,0,0,0,0,0,0,1,1
GUM,-0,-0,-0,0,0,0,0,1
GUY,-0,-0,0,0,0,0,1,1
HAI,0,0,0,0,0,1,1,1
HKG,4,3,5,7,8,9,9,9
HON,1,0,-0,-1,-1,-1,-1,-0
HUN,25,20,21,17,2,2,19,19
INA,12,17,19,15,15,15,13,14
IND,10,8,12,12,11,10,8,7
IOA,3,2,1,0,-0,-1,-1,-1
IRI,4,5,7,7,9,7,7,7
IRL,-1,3,4,4,3,3,3,3
IRQ,-0,-0,-0,-0,0,0,0,0
ISL,-1,-1,-1,-1,-1,-0,-0,0
ISR,-11,1,-18,10,1,5,14,5
ISV,-0,-0,-0,0,0,0,0,1
ITA,13,6,28,8,-1,6,13,11
IVB,-0,-0,0,0,0,0,0,0
JAM,4,8,8,9,7,7,5,5
JOR,0,-0,0,0,0,0,1,1
JPN,13,17,8,29,39,42,27,-24
KAZ,9,-6,7,7,7,7,6,5
KEN,10,11,13,12,12,12,11,11
KGZ,2,2,3,3,3,3,3,3
KIR,-0,-0,0,0,0,0,0,0
KOR,11,37,23,48,38,39,52,32
KOS,1,1,1,1,1,1,1,1
KSA,0,1,0,0,0,0,0,0
KUW,2,1,1,0,-0,-0,-0,-1
LAO,-0,-0,-0,-0,0,0,0,1
LAT,3,2,3,-3,2,2,-3,2
LBA,0,0,0,0,0,0,1,1
LBN,-0,-0,-0,-0,0,0,0,0
LBR,-0,-0,0,0,0,0,0,0
LCA,0,0,0,1,1,1,1,1
LES,-0,-0,0,0,0,0,0,0
LIB,-0,-0,-0,-0,0,0,0,0
LIE,-0,-0,-0,-0,0,0,0,0
LTU,4,8,9,9,7,4,1,-0
LUX,-0,-0,-0,0,0,1,1,1
MAD,0,0,0,0,0,0,1,1
MAL,-0,-0,-0,-0,0,0,0,0
MAR,2,-10,3,3,3,3,3,3
MAS,8,13,18,16,16,16,15,16
MAW,-0,-0,-0,0,0,0,0,1
MDA,2,2,1,1,1,1,1,1
MDV,-0,-0,-0,-0,0,0,0,1
MEX,5,7,-35,40,17,19,40,13
MGL,11,11,9,8,6,6,7,6
MHL,-0,-0,-0,-0,0,0,0,1
MKD,0,0,0,0,0,1,1,1
MLI,-0,0,0,0,0,0,1,1
MLT,0,0,0,0,0,0,0,1
MNE,1,-0,-1,-2,-1,-1,-0,0
MON,0,0,0,0,0,0,0,1
MOZ,1,1,1,1,1,1,1,1
MRI,0,0,0,0,0,1,1,1
MTN,-0,-0,-0,0,0,0,0,0
MYA,0,-0,0,0,0,0,0,0
NAM,0,0,1,1,1,1,1,1
NBO,-0,-0,-0,-0,0,0,0,0
NCA,0,0,0,-0,0,0,0,1
NED,15,27,31,-1,5,6,1,26
NEP,0,0,0,0,0,0,1,1
NFL,-0,-0,-0,-0,0,0,0,0
NGR,3,6,5,6,5,3,2,2
NIG,0,0,0,1,1,1,1,1
NOR,-5,-2,-0,-2,-3,-3,-3,-3
NRU,-0,-0,-0,-0,0,0,0,0
NZL,20,3,17,7,14,13,4,-1
OMA,0,0,0,0,0,0,0,0
PAK,1,1,1,1,0,0,0,0
PAN,0,0,0,0,0,1,1,1
PAR,-1,-1,-1,-1,-1,-2,-1,-1
PER,4,4,3,-21,2,2,-26,-39
PHI,-1,-1,-1,-1,-0,-0,0,0
PLE,0,0,0,0,0,0,1,1
PLW,-0,-0,-0,-0,0,0,0,1
PNG,0,0,0,0,1,1,1,1
POL,22,-20,20,21,21,20,19,17
POR,9,8,9,3,-6,-6,0,-3
PRK,5,6,4,3,4,4,4,4
PUR,1,2,2,3,3,3,3,4
QAT,3,3,2,2,1,1,1,1
RHO,-0,-0,-0,-0,0,0,0,0
ROC,-36,-13,8,-21,-3,3,-15,-11
ROT,0,0,0,0,0,0,1,1
ROU,3,7,9,9,8,10,11,9
RSA,2,3,4,4,-10,-9,15,7
RUS,14,21,30,29,32,40,40,40
RWA,-0,-0,-0,-0,0,0,1,1
SAA,-0,-0,-0,-0,0,0,0,0
SAM,0,0,0,0,0,0,0,1
SCG,4,4,2,1,1,0,0,1
SEN,0,0,1,1,1,1,1,1
SEY,1,1,1,1,1,1,1,1
SGP,6,4,5,6,7,7,6,6
SKN,-0,-0,0,0,0,0,0,0
SLE,-0,-0,-0,0,0,0,0,1
SLO,8,-30,6,6,7,7,14,5
SMR,2,1,1,0,0,-0,-0,-0
SOL,-0,-0,-0,-0,0,0,0,0
SOM,-0,-0,-0,0,0,0,0,0
SRB,10,12,8,9,9,7,6,6
SRI,0,0,0,0,0,0,0,1
SSD,-0,-0,0,0,0,0,0,0
STP,-0,-0,-0,0,0,0,0,0
SUD,0,0,0,0,0,1,1,1
SUI,-10,-37,6,-4,8,8,0,10
SUR,-0,-0,-0,-0,0,0,0,1
SVK,4,-35,1,1,1,0,0,1
SWE,7,9,6,3,1,-0,1,1
SWZ,-0,-0,-0,-0,0,0,0,0
SYR,-0,-0,-0,0,0,0,1,1
TAN,-0,-0,0,0,0,0,0,1
TCH,1,1,0,0,-0,-0,0,-0
TGA,0,-0,-0,0,0,0,1,1
THA,2,3,3,4,4,4,3,3
TJK,1,1,1,1,1,1,1,1
TKM,1,1,0,0,0,1,1,1
TLS,-0,-0,-0,0,0,0,0,1
TOG,-0,-0,-0,0,0,0,0,1
TPE,-10,4,3,5,6,7,8,9
TTO,1,2,2,2,2,2,2,2
TUN,4,4,5,6,7,6,6,7
TUR,-2,11,11,11,12,11,11,10
TUV,-0,-0,-0,0,0,0,0,0
UAE,1,1,1,1,0,0,1,1
UAR,-0,-0,-0,-0,0,0,0,0
UGA,1,1,1,1,1,1,1,1
UKR,-14,9,12,-6,13,20,-21,-4
UNK,-0,-0,-0,-0,0,0,0,0
URS,-0,-0,-0,-0,0,0,0,0
URU,2,2,2,2,2,2,2,2
USA,62,58,41,72,66,68,98,37
UZB,-7,-0,-1,0,1,4,5,6
VAN,-0,0,0,0,0,0,0,1
VEN,3,2,3,3,4,4,5,5
VIE,-2,2,2,1,1,2,1,1
VIN,-0,-0,-0,0,0,0,0,1
VNM,-0,-0,-0,-0,0,0,0,0
WIF,-0,-0,-0,-0,0,0,0,0
YAR,-0,-0,-0,-0,0,0,0,0
YEM,0,0,0,0,0,0,1,1
YMD,-0,-0,-0,-0,0,0,0,0
YUG,-0,-0,-0,-0,0,0,0,0
ZAM,0,0,0,-0,-0,0,0,1
ZIM,1,0,0,-0,0,1,1,1
