countries,total_medals,total_medals_lower,total_medals_upper,gold_medals,gold_medals_lower,gold_medals_upper
AFG,-0,-0,0,-0,-0,0
AHO,-0,-0,-0,-0,-0,-0
AIN,-3,-7,2,1,-1,2
ALB,0,0,1,0,-0,0
ALG,4,3,6,2,1,2
AND,-0,-0,-0,-0,-0,-0
ANG,0,-0,1,0,-0,0
ANT,0,-0,0,0,-0,0
ANZ,-0,-0,-0,-0,-0,-0
ARG,3,-0,6,3,2,4
ARM,3,1,4,-0,-1,0
ARU,0,0,1,0,-0,0
ASA,0,-0,0,-0,-0,0
AUS,63,54,72,22,20,25
AUT,11,9,14,4,3,5
AZE,5,3,6,2,1,2
BAH,1,1,2,0,0,0
BAN,-0,-0,0,-0,-0,0
BAR,0,-0,0,-0,-0,0
BDI,0,-0,0,-0,-0,0
BEL,12,9,16,5,3,6
BEN,0,-0,0,0,-0,0
BER,-1,-2,-0,-0,-1,-0
BHU,-0,-1,-0,-0,-0,-0
BIH,0,-0,0,-0,-0,0
BIZ,-0,-0,-0,-0,-0,-0
BLR,-3,-6,-1,-2,-2,-1
BOH,-0,-0,-0,-0,-0,-0
BOL,-0,-0,0,-0,-0,0
BOT,1,0,1,0,0,0
BRA,11,2,20,5,-1,10
BRN,1,1,1,0,-0,0
BRU,-0,-0,0,-0,-0,-0
BUL,-3,-5,-1,-1,-2,-1
BUR,0,0,1,0,-0,0
CAF,-0,-0,0,-0,-0,-0
CAM,-0,-0,0,-0,-0,0
CAN,27,22,31,9,8,11
CAY,-0,-0,0,-0,-0,0
CGO,-0,-0,0,-0,-0,-0
CHA,-0,-1,0,-0,-0,-0
CHI,-3,-4,-2,-1,-1,-0
CHN,94,81,106,36,34,39
CIV,1,0,1,0,-0,0
CMR,0,-0,1,-0,-0,0
COD,-0,-0,0,-0,-0,0
COK,-0,-1,-0,-0,-0,-0
COL,5,1,8,3,1,4
COM,-0,-0,0,-0,-0,-0
CPV,-0,-0,0,-0,-0,0
CRC,-0,-1,1,0,-0,0
CRO,8,6,11,5,4,5
CRT,-0,-0,-0,-0,-0,-0
CUB,11,9,13,4,4,5
CYP,4,3,5,1,1,2
CZE,3,0,6,-0,-1,1
DEN,10,5,14,4,2,5
DJI,0,-0,0,-0,-0,0
DMA,-0,-0,0,-0,-0,-0
DOM,1,-1,3,1,0,2
ECU,3,-0,6,0,-1,1
EGY,3,-1,6,1,-0,2
EOR,4,2,5,1,1,2
ERI,1,-0,2,0,-0,1
ESA,-0,-0,0,-0,-0,-0
ESP,11,6,17,3,1,5
EST,3,2,4,1,1,1
ETH,5,4,6,1,1,1
EUN,-0,-0,-0,-0,-0,-0
FIJ,3,1,5,2,1,2
FIN,8,6,10,2,2,3
FRA,63,49,78,15,12,18
FRG,-0,-0,-0,-0,-0,-0
FSM,-0,-0,0,-0,-0,-0
GAB,0,-0,0,0,-0,0
GAM,-0,-0,0,-0,-0,0
GBR,77,70,84,16,14,19
GBS,0,-0,0,-0,-0,-0
GDR,-0,-0,-0,-0,-0,-0
GEO,9,7,11,2,2,3
GEQ,-0,-0,0,-0,-0,-0
GER,37,30,43,11,8,13
GHA,-0,-0,0,0,-0,0
GRE,15,13,18,5,4,5
GRN,0,0,1,0,-0,0
GUA,3,2,3,1,1,1
GUI,0,0,1,0,-0,0
GUM,0,-0,0,-0,-0,0
GUY,-0,-0,0,-0,-0,0
HAI,0,-0,0,0,-0,0
HKG,3,2,5,2,1,2
HON,-0,-0,0,-0,-0,-0
HUN,14,10,18,4,2,5
INA,8,4,11,3,2,4
IND,11,9,13,4,4,5
IOA,0,-0,0,0,-0,0
IRI,6,4,8,1,1,2
IRL,5,2,8,2,1,3
IRQ,-0,-0,-0,-0,-0,-0
ISL,-1,-2,-1,-0,-1,-0
ISR,4,2,7,2,1,3
ISV,-0,-0,0,-0,-0,-0
ITA,37,32,43,12,11,14
IVB,-0,-0,0,-0,-0,-0
JAM,8,6,10,2,1,3
JOR,0,-0,1,0,-0,0
JPN,79,63,95,15,13,17
KAZ,6,3,9,3,1,4
KEN,9,7,11,3,2,4
KGZ,2,1,3,0,-0,0
KIR,0,-0,0,-0,-0,-0
KOR,39,35,43,14,13,16
KOS,2,1,2,1,0,1
KSA,1,0,1,0,-0,0
KUW,2,2,3,1,1,1
LAO,-0,-0,0,-0,-0,0
LAT,-1,-4,2,1,-0,2
LBA,-0,-0,0,-0,-0,-0
LBN,-0,-1,-0,-0,-0,0
LBR,-0,-0,0,-0,-0,-0
LCA,0,0,1,0,-0,0
LES,-0,-0,0,-0,-0,-0
LIB,-0,-0,-0,-0,-0,-0
LIE,-0,-0,-0,-0,-0,-0
LTU,6,4,7,1,-0,1
LUX,0,-1,1,0,-0,1
MAD,0,-0,1,-0,-0,0
MAL,-0,-0,-0,-0,-0,-0
MAR,11,6,17,1,0,1
MAS,8,6,10,2,1,3
MAW,-0,-0,0,-0,-0,-0
MDA,2,2,2,1,0,1
MDV,-0,-0,0,-0,-0,0
MEX,8,2,14,2,-0,4
MGL,9,7,10,3,2,4
MHL,-0,-0,0,-0,-0,0
MKD,1,0,1,0,-0,0
MLI,-0,-0,0,-0,-0,0
MLT,0,-0,0,-0,-0,0
MNE,-1,-1,-0,-0,-0,-0
MON,0,-0,0,-0,-0,0
MOZ,1,0,1,0,0,0
MRI,0,-0,1,0,-0,0
MTN,-0,-0,0,-0,-0,-0
MYA,-0,-0,-0,-0,-0,-0
NAM,1,-1,3,-1,-1,-0
NBO,-0,-0,-0,-0,-0,-0
NCA,0,-0,0,-0,-0,0
NED,51,41,61,14,12,16
NEP,0,0,0,0,-0,0
NFL,-0,-0,-0,-0,-0,-0
NGR,7,5,9,2,1,2
NIG,0,-0,1,0,-0,0
NOR,-1,-4,3,-0,-1,1
NRU,-0,-0,-0,-0,-0,-0
NZL,16,12,21,8,6,9
OMA,0,-0,0,-0,-0,0
PAK,1,0,1,0,0,0
PAN,0,-0,1,0,-0,0
PAR,-0,-0,0,-0,-0,0
PER,2,-1,4,1,-0,1
PHI,0,-1,2,-0,-1,0
PLE,0,-0,0,-0,-0,0
PLW,-0,-0,0,-0,-0,0
PNG,0,0,1,0,-0,0
POL,12,7,18,3,1,5
POR,4,1,8,3,2,4
PRK,5,4,6,2,2,2
PUR,6,4,7,2,1,2
QAT,1,1,2,0,0,1
RHO,-0,-0,-0,-0,-0,-0
ROC,7,4,10,1,0,2
ROT,-0,-0,-0,-0,-0,-0
ROU,9,6,12,3,2,4
RSA,6,2,10,5,4,7
RUS,6,2,9,1,-1,2
RWA,0,-0,1,0,-0,0
SAA,-0,-0,-0,-0,-0,-0
SAM,0,-0,1,0,-0,0
SCG,3,2,4,1,1,2
SEN,-0,-1,0,-0,-1,-0
SEY,-0,-0,0,-0,-0,-0
SGP,3,2,4,2,2,3
SKN,-0,-0,0,-0,-0,-0
SLE,0,-0,0,-0,-0,0
SLO,8,5,11,4,3,5
SMR,1,1,1,1,0,1
SOL,-0,-0,-0,-0,-0,-0
SOM,-0,-0,-0,-0,-0,-0
SRB,9,5,12,4,3,5
SRI,0,0,0,0,-0,0
SSD,-0,-0,-0,-0,-0,-0
STP,-0,-1,-0,-0,-0,-0
SUD,0,-0,0,-0,-0,0
SUI,9,4,14,3,2,5
SUR,-0,-0,0,-0,-0,-0
SVK,2,1,4,1,1,2
SWE,10,6,13,6,5,7
SWZ,-0,-0,0,-0,-0,0
SYR,-0,-0,0,-0,-0,0
TAN,-0,-0,0,-0,-0,-0
TCH,-0,-0,-0,-0,-0,-0
TGA,-0,-0,0,-0,-0,0
THA,6,3,8,2,1,3
TJK,2,1,2,1,0,1
TKM,1,0,1,-0,-0,0
TLS,-0,-0,0,-0,-0,-0
TOG,-0,-0,0,-0,-0,-0
TPE,5,3,7,2,1,3
TTO,2,1,2,0,0,0
TUN,3,2,4,1,0,1
TUR,12,9,15,4,3,5
TUV,-0,-0,0,-0,-0,-0
UAE,2,1,3,1,0,1
UAR,-0,-0,-0,-0,-0,-0
UGA,1,1,1,0,0,0
UKR,28,18,38,3,2,5
UNK,-0,-0,-0,-0,-0,-0
URS,-0,-0,-0,-0,-0,-0
URU,1,1,2,0,0,0
USA,142,126,159,49,42,55
UZB,3,1,4,1,0,2
VAN,-0,-0,0,-0,-0,0
VEN,1,-0,3,0,-0,1
VIE,2,2,3,1,0,1
VIN,-0,-0,0,-0,-0,0
VNM,-0,-0,-0,-0,-0,-0
WIF,-0,-0,-0,-0,-0,-0
YAR,-0,-0,-0,-0,-0,-0
YEM,0,0,0,0,-0,0
YMD,-0,-0,-0,-0,-0,-0
YUG,-0,-0,-0,-0,-0,-0
ZAM,0,0,1,0,-0,0
ZIM,0,-0,0,0,0,0
